epoch,o,h,l,c,v,time
1775619900,486.75,509.45,463.45,469.0,20930,2026-04-08 09:15:00
1775619960,469.65,495.25,469.65,483.85,11115,2026-04-08 09:16:00
1775620020,485.3,497.65,480.05,492.5,6435,2026-04-08 09:17:00
1775620080,492.5,498.05,489.1,489.55,3835,2026-04-08 09:18:00
1775620140,485.0,487.65,480.0,485.6,4875,2026-04-08 09:19:00
1775620200,485.65,498.0,485.55,493.15,4225,2026-04-08 09:20:00
1775620260,493.15,497.4,492.25,495.0,1820,2026-04-08 09:21:00
1775620320,492.35,492.35,479.15,480.2,1430,2026-04-08 09:22:00
1775620380,480.2,485.1,472.0,472.0,4290,2026-04-08 09:23:00
1775620440,471.3,471.3,463.25,463.5,6110,2026-04-08 09:24:00
1775620500,464.15,469.7,464.15,466.95,1820,2026-04-08 09:25:00
1775620560,466.95,478.3,466.95,478.3,1300,2026-04-08 09:26:00
1775620620,478.3,482.4,476.9,480.45,1105,2026-04-08 09:27:00
1775620680,480.75,480.75,473.75,476.45,1300,2026-04-08 09:28:00
1775620740,476.45,477.5,472.05,477.5,1495,2026-04-08 09:29:00
1775620800,480.05,490.95,479.8,490.95,650,2026-04-08 09:30:00
1775620860,490.95,491.35,488.8,489.4,3185,2026-04-08 09:31:00
1775620920,489.4,489.4,485.65,486.45,1885,2026-04-08 09:32:00
1775620980,484.9,484.9,479.1,481.8,1300,2026-04-08 09:33:00
1775621040,481.65,484.5,477.95,478.35,1170,2026-04-08 09:34:00
1775621100,480.05,485.85,480.05,485.85,3965,2026-04-08 09:35:00
1775621160,485.85,490.0,485.85,487.4,455,2026-04-08 09:36:00
1775621220,486.35,497.8,486.35,495.55,6500,2026-04-08 09:37:00
1775621280,496.8,496.8,485.95,487.75,23010,2026-04-08 09:38:00
1775621340,487.75,499.3,487.75,496.45,4355,2026-04-08 09:39:00
1775621400,496.45,498.8,495.0,495.85,2795,2026-04-08 09:40:00
1775621460,500.05,500.5,490.8,491.7,3120,2026-04-08 09:41:00
1775621520,491.7,497.75,488.7,492.0,715,2026-04-08 09:42:00
1775621580,489.55,489.55,489.55,489.55,975,2026-04-08 09:43:00
1775621640,489.55,498.9,489.55,498.9,1885,2026-04-08 09:44:00
1775621700,502.7,505.0,499.55,504.35,585,2026-04-08 09:45:00
1775621760,507.0,513.5,507.0,512.0,1105,2026-04-08 09:46:00
1775621820,512.0,515.0,512.0,515.0,130,2026-04-08 09:47:00
1775621880,515.0,521.0,514.0,519.15,1235,2026-04-08 09:48:00
1775621940,519.15,519.8,510.8,513.5,2600,2026-04-08 09:49:00
1775622000,510.0,522.0,510.0,522.0,8515,2026-04-08 09:50:00
1775622060,522.0,522.0,518.4,518.6,195,2026-04-08 09:51:00
1775622120,518.6,518.6,514.05,517.8,130,2026-04-08 09:52:00
1775622180,517.8,517.8,502.45,502.45,780,2026-04-08 09:53:00
1775622240,502.45,502.45,496.7,500.0,325,2026-04-08 09:54:00
1775622300,500.0,506.0,500.0,506.0,65,2026-04-08 09:55:00
1775622360,503.0,504.15,503.0,503.0,5850,2026-04-08 09:56:00
1775622420,503.0,503.55,500.0,501.0,3315,2026-04-08 09:57:00
1775622480,501.0,501.0,487.1,490.85,2730,2026-04-08 09:58:00
1775622540,488.15,488.15,480.75,480.75,585,2026-04-08 09:59:00
1775622600,480.75,493.2,480.75,489.2,325,2026-04-08 10:00:00
1775622660,492.25,495.7,491.5,491.5,455,2026-04-08 10:01:00
1775622720,491.5,497.5,489.0,489.0,2080,2026-04-08 10:02:00
1775622780,489.0,489.0,489.0,489.0,0,2026-04-08 10:03:00
