epoch,o,h,l,c,v,time
1776224700,305.85,305.85,246.2,265.1,144105,2026-04-15 09:15:00
1776224760,267.4,284.5,266.2,270.2,86125,2026-04-15 09:16:00
1776224820,271.3,277.3,267.0,273.35,43940,2026-04-15 09:17:00
1776224880,273.6,274.15,261.85,267.2,46800,2026-04-15 09:18:00
1776224940,267.15,270.65,264.75,267.35,27820,2026-04-15 09:19:00
1776225000,267.9,268.55,262.3,265.2,44915,2026-04-15 09:20:00
1776225060,265.6,277.2,264.35,275.0,41080,2026-04-15 09:21:00
1776225120,276.4,281.45,269.0,277.85,42380,2026-04-15 09:22:00
1776225180,278.55,280.0,270.9,273.9,36855,2026-04-15 09:23:00
1776225240,273.4,282.45,273.4,279.6,25545,2026-04-15 09:24:00
1776225300,280.0,283.35,276.5,276.9,27560,2026-04-15 09:25:00
1776225360,278.0,284.15,278.0,284.15,25610,2026-04-15 09:26:00
1776225420,283.0,297.2,281.75,296.65,72085,2026-04-15 09:27:00
1776225480,297.2,301.0,291.95,296.4,58955,2026-04-15 09:28:00
1776225540,297.75,301.5,294.1,296.95,29185,2026-04-15 09:29:00
1776225600,294.65,308.3,294.1,305.05,49855,2026-04-15 09:30:00
1776225660,304.9,310.0,303.2,303.2,31070,2026-04-15 09:31:00
1776225720,304.6,312.05,303.0,304.05,47840,2026-04-15 09:32:00
1776225780,302.75,313.2,301.35,311.1,21710,2026-04-15 09:33:00
1776225840,311.1,319.15,308.9,315.3,39455,2026-04-15 09:34:00
1776225900,315.3,317.55,311.45,315.2,21775,2026-04-15 09:35:00
1776225960,314.65,318.5,308.0,315.3,20800,2026-04-15 09:36:00
1776226020,314.85,316.0,311.75,315.1,14235,2026-04-15 09:37:00
1776226080,314.2,334.8,313.35,334.6,58110,2026-04-15 09:38:00
1776226140,335.0,337.95,327.55,331.65,54275,2026-04-15 09:39:00
1776226200,332.35,333.15,316.6,317.7,33085,2026-04-15 09:40:00
1776226260,317.7,319.05,312.0,314.3,20735,2026-04-15 09:41:00
1776226320,313.6,314.15,305.0,305.4,29900,2026-04-15 09:42:00
1776226380,305.55,305.95,292.5,293.0,27885,2026-04-15 09:43:00
