epoch,o,h,l,c,v,time,vwap
1777434300,200.0,200.0,179.2,195.55,2068040,2026-04-29 09:15:00,195.55
1777434360,194.4,199.8,189.95,195.95,1847365,2026-04-29 09:16:00,195.7387278582931
1777434420,197.7,200.7,192.0,193.7,1620710,2026-04-29 09:17:00,195.14188573575512
1777434480,196.3,198.1,185.6,187.7,1297010,2026-04-29 09:18:00,193.72932556480382
1777434540,187.95,189.75,180.15,189.45,1426230,2026-04-29 09:19:00,192.9903692540156
1777434600,192.6,198.75,191.8,196.75,2325310,2026-04-29 09:20:00,193.81631008161335
1777434660,197.8,197.8,187.8,193.4,1383070,2026-04-29 09:21:00,193.76819855636845
1777434720,193.75,196.0,188.15,189.95,881400,2026-04-29 09:22:00,193.5062851896256
1777434780,189.8,189.8,180.0,181.1,1261910,2026-04-29 09:23:00,192.39682693592147
1777434840,180.3,187.7,180.0,187.65,1002430,2026-04-29 09:24:00,192.0819846031439
1777434900,186.75,188.6,182.75,185.9,769535,2026-04-29 09:25:00,191.78246621704577
1777434960,185.8,196.0,185.65,195.1,1702805,2026-04-29 09:26:00,192.10369745445405
1777435020,195.45,203.85,194.95,199.6,2279550,2026-04-29 09:27:00,192.96389793240647
1777435080,199.8,202.3,193.65,196.4,1152775,2026-04-29 09:28:00,193.15235669045882
1777435140,196.55,208.0,196.55,207.2,1153490,2026-04-29 09:29:00,193.88319227093362
1777435200,206.55,210.55,204.05,209.6,1678235,2026-04-29 09:30:00,194.98913131164474
1777435260,211.0,212.9,206.25,211.75,1507480,2026-04-29 09:31:00,195.98555559543004
1777435320,211.8,213.0,209.3,211.75,995215,2026-04-29 09:32:00,196.58090616243734
1777435380,212.2,215.0,201.55,201.8,1513915,2026-04-29 09:33:00,196.864446310486
1777435440,202.3,202.9,193.4,197.9,1163500,2026-04-29 09:34:00,196.90595053905488
1777435500,198.2,201.0,196.15,199.5,825240,2026-04-29 09:35:00,196.9776537030465
1777435560,199.15,205.7,195.2,204.05,901550,2026-04-29 09:36:00,197.18496008926817
1777435620,204.35,204.8,197.1,199.6,657085,2026-04-29 09:37:00,197.23547559436363
1777435680,200.05,201.25,196.85,196.85,373295,2026-04-29 09:38:00,197.23094872943136
1777435740,196.7,202.85,192.6,201.3,949195,2026-04-29 09:39:00,197.34893147034762
1777435800,201.15,207.0,200.3,204.8,1033890,2026-04-29 09:40:00,197.57704911248754
1777435860,204.75,204.9,198.95,201.8,630955,2026-04-29 09:41:00,197.65450260652358
1777435920,202.55,206.0,200.1,206.0,524550,2026-04-29 09:42:00,197.7798437241192
1777435980,206.2,213.0,206.2,211.2,1399645,2026-04-29 09:43:00,198.29693272995354
1777436040,212.15,221.0,211.55,220.6,2030340,2026-04-29 09:44:00,199.47753394408969
1777436100,220.7,229.8,220.2,226.0,2148835,2026-04-29 09:45:00,200.88459552882387
1777436160,225.55,229.25,224.35,227.1,800280,2026-04-29 09:46:00,201.39251824271904
1777436220,228.45,233.7,226.0,229.45,1081080,2026-04-29 09:47:00,202.1081423451635
1777436280,230.45,231.4,226.1,227.8,537745,2026-04-29 09:48:00,202.4300083741694
1777436340,227.5,235.8,227.5,234.2,695760,2026-04-29 09:49:00,202.93676177376958
1777436400,234.2,236.0,229.75,233.95,739700,2026-04-29 09:50:00,203.45391568295312
1777436460,234.4,240.0,232.85,235.25,792545,2026-04-29 09:51:00,204.01203081879706
1777436520,236.2,241.0,235.2,239.35,581230,2026-04-29 09:52:00,204.4611492887122
1777436580,240.25,243.6,236.6,241.2,425425,2026-04-29 09:53:00,204.7997583534236
1777436640,240.8,247.5,240.8,244.55,602680,2026-04-29 09:54:00,205.31208006672227
1777436700,242.5,250.0,239.55,247.3,691015,2026-04-29 09:55:00,205.92352475442823
1777436760,247.85,247.85,238.8,245.3,350545,2026-04-29 09:56:00,206.21227971891045
1777436820,245.5,246.5,239.3,246.5,252590,2026-04-29 09:57:00,206.4240421474077
1777436880,246.6,249.9,242.7,244.5,402740,2026-04-29 09:58:00,206.74049652182543
1777436940,244.6,245.0,239.0,244.6,284505,2026-04-29 09:59:00,206.96147905739963
1777437000,245.0,259.0,245.0,257.2,706940,2026-04-29 10:00:00,207.67970145604588
1777437060,257.7,275.0,257.7,271.95,1138930,2026-04-29 10:01:00,209.12666491922585
1777437120,271.8,284.7,269.5,275.3,948220,2026-04-29 10:02:00,210.34418838420976
1777437180,275.5,280.0,271.35,273.4,401960,2026-04-29 10:03:00,210.8321874769258
1777437240,272.6,273.95,268.0,273.45,291720,2026-04-29 10:04:00,211.18192537779652
1777437300,274.45,279.6,271.0,272.6,313430,2026-04-29 10:05:00,211.54829290801285
1777437360,271.05,277.0,268.35,277.0,241085,2026-04-29 10:06:00,211.84723238826115
1777437420,277.1,284.8,274.3,278.4,385385,2026-04-29 10:07:00,212.3296173232062
1777437480,278.25,286.05,274.6,282.55,345865,2026-04-29 10:08:00,212.78344056153
1777437540,283.2,287.6,280.0,284.0,549965,2026-04-29 10:09:00,213.50786425065192
1777437600,282.0,296.0,280.0,293.3,518440,2026-04-29 10:10:00,214.26572701215468
1777437660,294.8,299.7,287.85,288.1,591695,2026-04-29 10:11:00,215.0575086998829
1777437720,290.1,294.75,289.9,292.55,184470,2026-04-29 10:12:00,215.31572601855115
1777437780,292.35,298.65,290.6,297.3,180830,2026-04-29 10:13:00,215.5826482594133
1777437840,297.0,303.45,294.15,300.35,299390,2026-04-29 10:14:00,216.037128384985
1777437900,300.7,307.65,297.15,300.45,340080,2026-04-29 10:15:00,216.54810596769715
1777437960,301.3,305.65,299.0,305.65,207025,2026-04-29 10:16:00,216.875238989977
1777438020,306.25,314.25,304.8,309.9,343265,2026-04-29 10:17:00,217.4381075085989
1777438080,309.9,316.2,307.2,314.85,215995,2026-04-29 10:18:00,217.80758176208667
1777438140,315.55,316.95,310.05,311.9,175955,2026-04-29 10:19:00,218.09741282589303
1777438200,311.55,333.35,309.7,333.0,451880,2026-04-29 10:20:00,218.99923224817334
1777438260,332.0,337.45,327.0,332.8,281840,2026-04-29 10:21:00,219.5535945799592
1777438320,332.0,335.0,327.25,329.4,148395,2026-04-29 10:22:00,219.8346154190951
1777438380,328.7,339.45,324.1,332.7,233870,2026-04-29 10:23:00,220.2878480666529
1777438440,332.8,335.95,330.1,332.2,123435,2026-04-29 10:24:00,220.52453919437255
1777438500,333.4,334.05,326.6,332.4,138905,2026-04-29 10:25:00,220.79017506258188
1777438560,332.05,336.2,331.7,335.25,125645,2026-04-29 10:26:00,221.0354767538034
1777438620,333.75,340.95,329.95,339.0,215605,2026-04-29 10:27:00,221.4677101111159
1777438680,338.55,344.45,336.75,338.65,160355,2026-04-29 10:28:00,221.7861816405174
1777438740,337.05,340.85,336.0,338.1,100100,2026-04-29 10:29:00,221.98317670723364
1777438800,337.2,339.15,326.25,327.65,204815,2026-04-29 10:30:00,222.3480885636033
1777438860,327.75,333.9,321.1,328.3,171730,2026-04-29 10:31:00,222.65399373381956
1777438920,329.25,334.1,324.3,330.6,108745,2026-04-29 10:32:00,222.85098838934314
1777438980,330.25,334.9,328.05,331.8,90025,2026-04-29 10:33:00,223.01533825856714
1777439040,333.0,335.8,329.9,332.7,73645,2026-04-29 10:34:00,223.15052574782814
1777439100,331.3,334.55,331.0,334.15,38675,2026-04-29 10:35:00,223.22232461132546
1777439160,334.0,340.4,330.2,338.0,136760,2026-04-29 10:36:00,223.484257848217
1777439220,337.85,337.85,328.5,328.5,80405,2026-04-29 10:37:00,223.62496923736836
1777439280,328.95,333.6,323.95,325.9,80535,2026-04-29 10:38:00,223.76204592633138
1777439340,326.5,329.85,325.05,326.15,51155,2026-04-29 10:39:00,223.8491376142426
1777439400,326.4,328.65,322.05,322.85,73060,2026-04-29 10:40:00,223.9692619836174
1777439460,322.85,332.6,321.25,332.6,78520,2026-04-29 10:41:00,224.11073692585677
1777439520,332.95,332.95,322.4,324.9,77090,2026-04-29 10:42:00,224.23944443128448
1777439580,324.95,328.25,321.45,321.45,48555,2026-04-29 10:43:00,224.31756938489858
1777439640,319.45,326.65,319.25,324.75,99125,2026-04-29 10:44:00,224.48207760570733
1777439700,324.05,325.15,320.0,321.2,58955,2026-04-29 10:45:00,224.57620914219123
1777439760,319.8,325.65,314.85,315.0,120250,2026-04-29 10:46:00,224.75535800533535
1777439820,314.95,319.8,314.6,315.95,80405,2026-04-29 10:47:00,224.87600699673158
1777439880,315.65,326.2,315.65,324.7,124930,2026-04-29 10:48:00,225.08078399666996
1777439940,325.2,326.8,318.55,325.85,86060,2026-04-29 10:49:00,225.2229826358321
1777440000,326.2,329.85,322.05,324.1,101660,2026-04-29 10:50:00,225.3875290215765
1777440060,324.9,333.2,324.3,329.3,147095,2026-04-29 10:51:00,225.63714017159884
1777440120,330.55,330.55,321.0,329.6,96720,2026-04-29 10:52:00,225.8010886856181
1777440180,330.0,335.7,329.45,334.85,144625,2026-04-29 10:53:00,226.05762851107113
