epoch,o,h,l,c,v,time,vwap
1777520700,245.0,316.0,245.0,307.35,837915,2026-04-30 09:15:00,307.35
1777520760,307.6,329.0,307.4,329.0,623675,2026-04-30 09:16:00,316.5882704794094
1777520820,330.5,332.9,321.5,325.0,309075,2026-04-30 09:17:00,318.0565636356962
1777520880,323.85,330.55,321.1,327.15,252655,2026-04-30 09:18:00,319.19207465947056
1777520940,328.0,344.05,325.95,341.0,252915,2026-04-30 09:19:00,321.615177475085
1777521000,340.0,364.2,336.95,360.3,278915,2026-04-30 09:20:00,325.8379343678453
1777521060,361.9,383.6,359.2,381.05,189345,2026-04-30 09:21:00,329.64706084361603
1777521120,381.2,395.4,379.85,380.8,206115,2026-04-30 09:22:00,333.22035180860905
1777521180,380.9,383.0,367.0,380.0,153465,2026-04-30 09:23:00,335.53313056224476
1777521240,381.05,383.7,368.0,373.75,146510,2026-04-30 09:24:00,337.2556369853426
1777521300,374.0,381.7,369.45,373.55,76635,2026-04-30 09:25:00,338.09159568648903
1777521360,374.3,379.5,372.0,374.0,61100,2026-04-30 09:26:00,338.7391152547575
1777521420,374.3,392.25,374.3,385.5,106925,2026-04-30 09:27:00,340.16960370446134
1777521480,385.8,390.9,376.0,386.55,51480,2026-04-30 09:28:00,340.84280582791166
1777521540,386.55,393.75,384.35,389.85,113360,2026-04-30 09:29:00,342.36065460228383
1777521600,390.75,397.9,388.7,390.75,107055,2026-04-30 09:30:00,343.7357883566844
1777521660,390.95,391.7,382.3,384.45,83135,2026-04-30 09:31:00,344.6148881573394
1777521720,383.0,383.45,365.8,368.95,112840,2026-04-30 09:32:00,345.30777090748063
1777521780,369.5,378.25,367.65,369.45,77155,2026-04-30 09:33:00,345.76880288941084
1777521840,370.0,378.6,361.9,362.75,59735,2026-04-30 09:34:00,346.01621034608496
1777521900,362.7,373.2,356.8,366.75,70200,2026-04-30 09:35:00,346.36523684087473
1777521960,366.25,383.0,366.25,368.85,69160,2026-04-30 09:36:00,346.7320479600129
1777522020,367.45,377.15,366.7,376.0,47970,2026-04-30 09:37:00,347.05952030807015
1777522080,375.55,379.35,363.85,369.3,44915,2026-04-30 09:38:00,347.29010052513127
1777522140,369.4,374.4,362.0,371.3,31785,2026-04-30 09:39:00,347.46497415808994
1777522200,376.0,383.8,374.2,375.3,49270,2026-04-30 09:40:00,347.77572352239423
1777522260,376.35,377.55,362.9,365.75,35620,2026-04-30 09:41:00,347.91963328219737
1777522320,365.35,368.8,352.0,353.95,57005,2026-04-30 09:42:00,347.9959240933614
1777522380,353.1,357.0,350.4,353.2,72735,2026-04-30 09:43:00,348.0785941426158
1777522440,353.15,358.05,348.3,348.7,56745,2026-04-30 09:44:00,348.08620116667134
1777522500,349.45,355.0,344.35,350.0,61880,2026-04-30 09:45:00,348.1114126975341
1777522560,350.6,350.6,340.0,344.05,89570,2026-04-30 09:46:00,348.03541700613766
1777522620,344.25,357.85,342.95,357.8,47905,2026-04-30 09:47:00,348.13216883343864
1777522680,358.0,366.45,357.95,363.25,93210,2026-04-30 09:48:00,348.41811448921715
1777522740,364.0,371.0,360.55,366.7,71565,2026-04-30 09:49:00,348.6798071922617
1777522800,365.95,378.05,364.4,370.8,56875,2026-04-30 09:50:00,348.92861706367063
1777522860,371.7,381.2,366.0,366.1,99580,2026-04-30 09:51:00,349.260255537486
1777522920,366.0,376.45,360.4,372.6,45435,2026-04-30 09:52:00,349.4641304891155
1777522980,372.0,374.0,365.05,370.7,22945,2026-04-30 09:53:00,349.5573965785381
1777523040,371.35,381.4,368.2,381.4,46345,2026-04-30 09:54:00,349.83738592640094
1777523100,380.8,382.95,375.7,377.1,53755,2026-04-30 09:55:00,350.112624671916
1777523160,377.1,388.0,374.0,388.0,39455,2026-04-30 09:56:00,350.3913095901699
1777523220,387.3,392.0,385.6,390.65,55445,2026-04-30 09:57:00,350.8031916041979
1777523280,390.55,399.0,390.55,396.9,61750,2026-04-30 09:58:00,351.32251526830714
1777523340,396.45,397.7,390.0,394.75,50830,2026-04-30 09:59:00,351.72154581879283
1777523400,396.9,414.95,396.9,409.65,112125,2026-04-30 10:00:00,352.87234947945456
1777523460,410.95,420.6,410.95,414.05,127725,2026-04-30 10:01:00,354.226157415228
1777523520,414.05,418.6,408.0,417.45,50830,2026-04-30 10:02:00,354.7780841491867
1777523580,417.7,422.45,413.95,417.85,26000,2026-04-30 10:03:00,355.0584691983685
1777523640,417.95,428.0,417.85,425.5,43940,2026-04-30 10:04:00,355.5837405548508
1777523700,425.3,432.0,416.75,420.0,44980,2026-04-30 10:05:00,356.0717264934809
1777523760,420.0,423.35,417.1,419.0,35620,2026-04-30 10:06:00,356.4469884106861
1777523820,418.15,420.0,411.65,419.25,37375,2026-04-30 10:07:00,356.8375121661079
1777523880,420.5,428.0,419.55,423.0,34580,2026-04-30 10:08:00,357.21598191436743
1777523940,424.1,436.55,421.75,428.3,50180,2026-04-30 10:09:00,357.8011852965641
1777524000,429.6,432.65,425.8,429.65,17095,2026-04-30 10:10:00,358.0021300126546
1777524060,428.5,437.5,427.4,433.6,30810,2026-04-30 10:11:00,358.3812751954799
1777524120,434.6,441.0,432.45,436.95,38610,2026-04-30 10:12:00,358.8719941117712
1777524180,436.8,440.5,433.65,435.8,16900,2026-04-30 10:13:00,359.08172809731036
1777524240,435.8,441.9,433.85,436.95,24440,2026-04-30 10:14:00,359.3875372097638
1777524300,437.95,443.7,431.05,431.45,33215,2026-04-30 10:15:00,359.77011542617294
1777524360,433.35,441.8,430.4,441.35,15275,2026-04-30 10:16:00,359.9688082332335
1777524420,442.05,465.2,442.05,457.95,76050,2026-04-30 10:17:00,361.1426922801233
1777524480,460.5,460.95,447.25,447.45,26650,2026-04-30 10:18:00,361.5035271803971
1777524540,445.25,445.25,433.3,439.05,25285,2026-04-30 10:19:00,361.80991356545053
