epoch,o,h,l,c,v,time,vwap
1776743100,24374.55,24427.7,24354.9,24427.2,7376883,2026-04-21 09:15:00,24427.2
1776743160,24427.8,24454.75,24427.1,24437.7,3841233,2026-04-21 09:16:00,24430.795340474284
1776743220,24436.6,24452.25,24434.95,24443.65,3237139,2026-04-21 09:17:00,24433.67403889105
1776743280,24443.75,24462.15,24443.75,24458.25,2835355,2026-04-21 09:18:00,24437.70406294515
1776743340,24458.7,24470.35,24454.9,24468.9,2718987,2026-04-21 09:19:00,24441.943096210285
1776743400,24468.15,24483.35,24468.15,24473.35,1948668,2026-04-21 09:20:00,24444.73027581642
1776743460,24472.3,24477.6,24462.75,24463.65,1851459,2026-04-21 09:21:00,24446.20148537841
1776743520,24462.95,24474.45,24456.1,24470.7,1751458,2026-04-21 09:22:00,24447.880129168127
1776743580,24470.3,24479.65,24470.3,24478.8,1356589,2026-04-21 09:23:00,24449.438414088963
1776743640,24478.35,24486.0,24464.95,24465.05,1577119,2026-04-21 09:24:00,24450.302475285916
1776743700,24464.75,24466.8,24450.55,24466.8,1786425,2026-04-21 09:25:00,24451.27573521823
1776743760,24467.05,24475.25,24467.05,24467.35,1443591,2026-04-21 09:26:00,24452.007168873875
1776743820,24469.4,24470.65,24463.1,24463.5,1104883,2026-04-21 09:27:00,24452.39395886309
1776743880,24463.7,24465.95,24458.85,24459.6,1098792,2026-04-21 09:28:00,24452.62732967081
1776743940,24458.3,24461.15,24449.15,24449.15,1787683,2026-04-21 09:29:00,24452.453281143844
1776744000,24449.75,24455.8,24444.6,24444.6,1344759,2026-04-21 09:30:00,24452.168324884064
1776744060,24445.7,24455.0,24442.45,24454.2,1291560,2026-04-21 09:31:00,24452.2367434913
1776744120,24455.3,24462.75,24453.9,24461.95,1247669,2026-04-21 09:32:00,24452.542775105314
1776744180,24461.8,24464.15,24459.25,24459.95,1188209,2026-04-21 09:33:00,24452.758555035944
1776744240,24459.45,24462.45,24451.8,24461.5,1027366,2026-04-21 09:34:00,24452.973322122743
1776744300,24460.75,24474.6,24460.75,24474.05,1157579,2026-04-21 09:35:00,24453.541066734386
1776744360,24473.85,24477.65,24461.95,24463.65,1102282,2026-04-21 09:36:00,24453.793879468198
1776744420,24462.5,24472.25,24462.5,24468.0,1124638,2026-04-21 09:37:00,24454.147344683974
1776744480,24468.3,24477.15,24468.25,24472.6,1578507,2026-04-21 09:38:00,24454.77001189726
1776744540,24472.35,24474.8,24467.55,24469.7,1223980,2026-04-21 09:39:00,24455.150698063255
1776744600,24470.65,24471.3,24454.4,24454.4,1307134,2026-04-21 09:40:00,24455.130798164315
1776744660,24453.6,24463.15,24453.6,24461.5,892912,2026-04-21 09:41:00,24455.244081289275
1776744720,24462.05,24468.6,24462.05,24463.8,923700,2026-04-21 09:42:00,24455.39866047997
1776744780,24463.55,24464.25,24450.75,24457.35,1157971,2026-04-21 09:43:00,24455.441877748544
